,0,1,2,3
151673_1000_50_50_10_500,0.2872521143023434,0.2872521143023434,0.2872521143023434,0.2872521143023434
151673_1000_50_50_30_100,0.3555322944302708,0.3555322944302708,0.3555322944302708,0.3555322944302708
151673_1000_50_50_30_300,0.35533435519801015,0.35533435519801015,0.35533435519801015,0.35533435519801015
151673_1000_50_50_30_500,0.36677307464284126,0.36677307464284126,0.36677307464284126,0.36677307464284126
151673_1000_50_50_50_100,0.3558156132340879,0.3558156132340879,0.3558156132340879,0.3558156132340879
151673_1000_50_50_50_300,0.35336275721634447,0.35336275721634447,0.35336275721634447,0.35336275721634447
151673_1000_50_50_50_500,0.36940265245787024,0.36940265245787024,0.36940265245787024,0.36940265245787024
151673_1000_100_15_10_100,0.284619021023032,0.284619021023032,0.284619021023032,0.284619021023032
151673_1000_100_15_10_300,0.2938949958713959,0.2938949958713959,0.2938949958713959,0.2938949958713959
151673_1000_100_15_10_500,0.23333629514195864,0.23333629514195864,0.23333629514195864,0.23333629514195864
151673_1000_100_15_30_100,0.3366901347340903,0.3366901347340903,0.3366901347340903,0.3366901347340903
151673_1000_100_15_30_300,0.3674715665180825,0.3674715665180825,0.3674715665180825,0.3674715665180825
151673_1000_100_15_30_500,0.21015733007448417,0.21015733007448417,0.21015733007448417,0.21015733007448417
151673_1000_100_15_50_100,0.335085228744005,0.335085228744005,0.335085228744005,0.335085228744005
151673_1000_100_15_50_300,0.3722799902306923,0.3722799902306923,0.3722799902306923,0.3722799902306923
151673_1000_100_15_50_500,0.21887848819202,0.21887848819202,0.21887848819202,0.21887848819202
151673_1000_100_30_10_100,0.270980007645621,0.270980007645621,0.270980007645621,0.270980007645621
151673_1000_100_30_10_300,0.32573963986489946,0.32573963986489946,0.32573963986489946,0.32573963986489946
151673_1000_100_30_10_500,0.2761537011943485,0.2761537011943485,0.2761537011943485,0.2761537011943485
151673_1000_100_30_30_100,0.27993766188951497,0.27993766188951497,0.27993766188951497,0.27993766188951497
151673_1000_100_30_30_300,0.31766338863494276,0.31766338863494276,0.31766338863494276,
151673_1000_100_30_30_500,0.26732546505844546,0.26732546505844546,0.26732546505844546,
151673_1000_100_30_50_100,0.2995650230362005,0.2995650230362005,0.2995650230362005,
151673_1000_100_30_50_300,0.3531909900695661,0.3531909900695661,0.3531909900695661,
151673_1000_100_30_50_500,0.3480140346336534,0.3480140346336534,0.3480140346336534,
151673_1000_100_50_10_100,0.28431654316754496,0.28431654316754496,0.28431654316754496,
