,0,1,2
151673_1000_100_50_10_300,0.3621083280091923,0.31065119494427235,0.2985754490375457
151673_1000_100_50_10_500,0.2505567414844688,0.20073303082974756,0.26742000680771716
151673_1000_100_50_30_100,0.36325790905599936,0.38198590195990767,0.39630705451767223
151673_1000_100_50_30_300,0.39683407323707803,0.4352904737314267,0.388557947060908
151673_1000_100_50_30_500,0.38716317344021983,0.47401543336792445,0.3908091652756837
151673_1000_100_50_50_100,0.3646882068534337,0.359690550365995,0.3469251454446624
151673_1000_100_50_50_300,0.3963440126006076,0.4170135621107622,0.3962527024684859
151673_1000_100_50_50_500,0.37857319140146495,0.41787521471977956,0.42297195955754324
151673_2000_50_15_10_100,0.24598396842388903,0.3330992807863135,0.3931618988080212
151673_2000_50_15_10_300,0.25424466399062917,0.30912720992904497,0.3840868982512167
151673_2000_50_15_10_500,0.26725657637132577,0.3969287400185304,0.2736963536647802
151673_2000_50_15_30_100,0.39455676284939006,0.4885760513111252,0.42396543581646234
151673_2000_50_15_30_300,0.4614956903498431,0.4343393530765882,0.3553324750277478
151673_2000_50_15_30_500,0.36928042487362006,0.4473967769974911,0.42433575244074917
151673_2000_50_15_50_100,0.39384150523495887,0.44135409185473196,0.39806816067876727
151673_2000_50_15_50_300,0.39552469773644733,0.40023800265843934,0.36489356420105634
151673_2000_50_15_50_500,0.3298545239312682,0.41295215202907065,0.39554833821551744
151673_2000_50_30_10_100,0.2712451078624881,0.3712297613967335,0.3690846008660083
151673_2000_50_30_10_300,0.3804767112590264,0.30516799315846604,0.3063101246818266
151673_2000_50_30_10_500,0.3679030711794308,0.30738083923071663,0.4026256955766159
151673_2000_50_30_30_100,0.47626835873647916,0.42236401869257545,0.42516668132599955
151673_2000_50_30_30_300,0.4516389839840968,0.41189869119446193,0.4062416452405773
151673_2000_50_30_30_500,0.30185887417149576,0.44395204120393317,0.33329723093259866
151673_2000_50_30_50_100,0.4744657303105712,0.4323262336854481,0.3706177473013214
151673_2000_50_30_50_300,0.4402115643772156,0.40361109365583275,0.3758908048059486
151673_2000_50_30_50_500,0.3972046892104276,0.4278962926824169,0.33193302594894797
151673_2000_50_50_10_100,0.2967219967858465,0.26574621672567433,0.3596611801867045
151673_2000_50_50_10_300,0.33144972611559526,0.3237327182822157,0.34318941794447105
151673_2000_50_50_10_500,0.28951953129655145,0.3039334491881026,0.40689848964613745
151673_2000_50_50_30_100,0.4982553411623355,0.3970417601628117,0.33605397027893874
151673_2000_50_50_30_300,0.41889711706578137,0.4012552258606026,0.33845539745422815
151673_2000_50_50_30_500,0.3558565131610483,0.4706174876890388,0.3323144809990433
151673_2000_50_50_50_100,0.3885764964049331,0.4370086582970284,0.35555865266825676
151673_2000_50_50_50_300,0.39549375220292826,0.3904009185415604,0.3758194728832015
151673_2000_50_50_50_500,0.42658867006138473,0.4297794528002779,0.31197577305704155
151673_2000_100_15_10_100,0.2583490469353588,0.2451532314961962,0.214332592652556
151673_2000_100_15_10_300,0.2008878219520103,0.24102691342523314,0.2530277396517955
151673_2000_100_15_10_500,0.20956081915187288,0.23985542011660593,0.2400122343070125
151673_2000_100_15_30_100,0.3663267534066342,0.32348635803763626,0.3655772291923751
151673_2000_100_15_30_300,0.31120986550993596,0.31551988270093956,0.434664132229207
151673_2000_100_15_30_500,0.2858212907132155,0.32345415023908747,0.3620057579026039
151673_2000_100_15_50_100,0.3584126703302232,0.38417217565507217,0.3680609437299791
151673_2000_100_15_50_300,0.36386896837265625,0.3543509198697446,0.36399098215996206
151673_2000_100_15_50_500,0.3591693623483173,0.2674707641460295,0.33997183540023873
151673_2000_100_30_10_100,0.2642802642582964,0.24602533307163899,0.26565662748854746
151673_2000_100_30_10_300,0.2764963147508965,0.326857547946784,0.21953336843708723
151673_2000_100_30_10_500,0.27710928881115243,0.33237699577869145,0.21374370403576717
151673_2000_100_30_30_100,0.4133411122030535,0.4432304122895765,0.4209545068518652
151673_2000_100_30_30_300,0.4187734530046822,0.36795866906123803,0.3492219239244325
151673_2000_100_30_30_500,0.41356004081898246,0.37407871699703144,
151673_2000_100_30_50_100,0.4066020933641067,0.38051747780261086,
151673_2000_100_30_50_300,0.4201725404343255,0.3543680223065891,
151673_2000_100_30_50_500,0.31995372428242896,0.3417973876894012,
151673_2000_100_50_10_100,0.1988810130847294,0.35589985706337296,
151673_2000_100_50_10_300,0.25545493312469575,0.37794750539771604,
151673_2000_100_50_10_500,0.2525719469192478,0.32934882096803136,
151673_2000_100_50_30_100,0.31753029957551265,0.3463708651879621,
151673_2000_100_50_30_300,0.3304130600735289,0.3485286826888317,
151673_2000_100_50_30_500,0.27610483001534075,0.34025217956990556,
151673_2000_100_50_50_100,0.3052456589275789,0.3870553890138856,
151673_2000_100_50_50_300,0.2963318363048823,0.37769162181759197,
151673_2000_100_50_50_500,0.2520539988458302,0.4346617928008515,
151673_5000_50_15_10_100,0.2716853190145815,0.29256280269483115,
151673_5000_50_15_10_300,0.22526263328993254,0.29084229145477025,
151673_5000_50_15_10_500,0.223932668126742,0.2936805154240483,
151673_5000_50_15_30_100,0.3525795508537447,0.3963258478010265,
151673_5000_50_15_30_300,0.32928967096401945,0.4587809411352109,
151673_5000_50_15_30_500,0.22844196168104136,0.5016532027344195,
151673_5000_50_15_50_100,0.42799207124091476,0.42100519066079334,
151673_5000_50_15_50_300,0.3344363997720217,0.37245600462364475,
151673_5000_50_15_50_500,0.24337855368796907,0.4096914429477444,
151673_5000_50_30_10_100,0.3475211574886737,0.26794134755654936,
151673_5000_50_30_10_300,0.394184666173232,0.24954259235513915,
151673_5000_50_30_10_500,0.3126079470734489,0.26689225590145327,
151673_5000_50_30_30_100,0.432896922927609,0.42424733235455536,
151673_5000_50_30_30_300,0.312872137869435,0.24044026766631382,
151673_5000_50_30_30_500,0.2170179849853239,0.3391462813792461,
151673_5000_50_30_50_100,0.41630029564783455,0.4060429303588824,
