,0,1,2
151507_2000_50_30_10_500,0.2549488897562194,0.2549488897562194,
151507_2000_50_30_30_100,0.4178865244437886,0.4178865244437886,
151507_2000_50_30_30_300,0.4153140685144969,0.4153140685144969,
151507_2000_50_30_30_500,0.37134972133663796,0.37134972133663796,
151507_2000_50_30_50_100,0.4902344752669823,0.4902344752669823,
151507_2000_50_30_50_300,0.4436158927654469,0.4436158927654469,
151507_2000_50_30_50_500,0.5026918456745494,0.5026918456745494,
151507_2000_50_50_10_100,0.2997569713596149,0.2997569713596149,
151507_2000_50_50_10_300,0.35704777003714905,0.35704777003714905,
151507_2000_50_50_10_500,0.3430903732237162,0.3430903732237162,
151507_2000_50_50_30_100,0.40754495257320955,0.40754495257320955,
151507_2000_50_50_30_300,0.5263237738648101,0.5263237738648101,
151507_2000_50_50_30_500,0.46771460659773445,0.46771460659773445,
151507_2000_50_50_50_100,0.42237176035552093,0.42237176035552093,
151507_2000_50_50_50_300,0.5762159567373194,0.5762159567373194,
151507_2000_50_50_50_500,0.3092695499775073,0.3092695499775073,
151507_2000_100_15_10_100,0.32054772569583934,0.32054772569583934,
151507_2000_100_15_10_300,0.24226018616392098,0.24226018616392098,
151507_2000_100_15_10_500,0.2924613072038428,0.2924613072038428,
151507_2000_100_15_30_100,0.43178472360600356,0.43178472360600356,
151507_2000_100_15_30_300,0.5210998384681426,0.5210998384681426,
151507_2000_100_15_30_500,0.41041570692243695,0.41041570692243695,
151507_2000_100_15_50_100,0.5276875294651535,0.5276875294651535,
151507_2000_100_15_50_300,0.5443254552446064,0.5443254552446064,
151507_2000_100_15_50_500,0.4208895175303839,0.4208895175303839,
151507_2000_100_30_10_100,0.2579607032119992,0.2579607032119992,
151507_2000_100_30_10_300,0.19494025025206518,0.19494025025206518,
151507_2000_100_30_10_500,0.22189689957668626,0.22189689957668626,
151507_2000_100_30_30_100,0.25377464845247794,0.25377464845247794,
151507_2000_100_30_30_300,0.19781444858239408,0.19781444858239408,
151507_2000_100_30_30_500,0.2617566097723633,0.2617566097723633,
151507_2000_100_30_50_100,0.1847686467533065,0.1847686467533065,
151507_2000_100_30_50_300,0.19632778655779548,0.19632778655779548,
151507_2000_100_30_50_500,0.25744387061626595,0.25744387061626595,
151507_2000_100_50_10_100,0.22252833082253556,0.22252833082253556,
151507_2000_100_50_10_300,0.15647667039316082,0.15647667039316082,
151507_2000_100_50_10_500,0.246641261465692,0.246641261465692,
151507_2000_100_50_30_100,0.3321932496430129,0.3321932496430129,
151507_2000_100_50_30_300,0.22520649878097296,0.22520649878097296,
151507_2000_100_50_30_500,0.18809732828831832,0.18809732828831832,
151507_2000_100_50_50_100,0.25138291797882845,0.25138291797882845,
151507_2000_100_50_50_300,0.2300997934788096,0.2300997934788096,
151507_2000_100_50_50_500,0.2580036196266559,0.2580036196266559,
151507_5000_50_15_10_100,0.3525975464146053,0.3525975464146053,
151507_5000_50_15_10_300,0.2841311212036784,0.2841311212036784,
151507_5000_50_15_10_500,0.2844342613765917,0.2844342613765917,
151507_5000_50_15_30_100,0.33672545756698563,0.33672545756698563,
151507_5000_50_15_30_300,0.40945747922612036,0.40945747922612036,
151507_5000_50_15_30_500,0.3454713897994423,0.3454713897994423,
151507_5000_50_15_50_100,0.34102254769500656,0.34102254769500656,
151507_5000_50_15_50_300,0.38829437087791224,0.38829437087791224,
151507_5000_50_15_50_500,0.33922713323844583,0.33922713323844583,
151507_5000_50_30_10_100,0.23465618848967015,0.23465618848967015,
151507_5000_50_30_10_300,0.18417432995490962,0.18417432995490962,
151507_5000_50_30_10_500,0.20714625086579724,0.20714625086579724,
151507_5000_50_30_30_100,0.39929831283083306,0.39929831283083306,
151507_5000_50_30_30_300,0.4137812947759437,0.4137812947759437,
151507_5000_50_30_30_500,0.36215217372495245,0.36215217372495245,
151507_5000_50_30_50_100,0.47329817866312585,0.47329817866312585,
151507_5000_50_30_50_300,0.37377124486652474,0.37377124486652474,
151507_5000_50_30_50_500,0.25556642748677105,0.25556642748677105,
151507_5000_50_50_10_100,0.21476938139034946,0.21476938139034946,
151507_5000_50_50_10_300,0.2146573590496186,0.2146573590496186,
151507_5000_50_50_10_500,0.23068694223646635,0.23068694223646635,
151507_5000_50_50_30_100,0.2595013019600931,0.2595013019600931,
151507_5000_50_50_30_300,0.3609195634567936,0.3609195634567936,
151507_5000_50_50_30_500,0.19980229584718678,0.19980229584718678,
151507_5000_50_50_50_100,0.4055022913863728,0.4055022913863728,
151507_5000_50_50_50_300,0.3497963393113889,0.3497963393113889,
151507_5000_50_50_50_500,0.23694935407699386,0.23694935407699386,
151507_5000_100_15_10_100,0.22726831152451435,0.22726831152451435,
